4/18/15 12:40 AM
Statistica del projecto

              	Segmentos	Parolas	Characteres (sin spatios)	Characteres (includente spatios)	#Files	
Total:        	    26459	 217599	                  1207409	                         1385750	   112	
Restante:     	    10179	  80217	                   456648	                          517088	    24	
Unic:         	    14803	 141101	                   805378	                          919649	   101	
Unic restante:	     5510	  48314	                   297391	                          331544	    24	


Statistica individual del file:

Nomine del file                                                                	Segmentos total	Segmentos cetere	Segmentos unic	Segmentos unic cetere	Parolas total	Parolas cetere	Parolas unic	Parolas unic cetere	Characteres total (sin spatios)	Characteres cetere (sin spatios)	Characteres unic (sin spatios)	Characteres unic cetere (sin spatios)	Characteres total (includente spatios)	Characteres cetere (includente spatios)	Characteres unic (includente spatios)	Characteres unic cetere (includente spatios)	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\App_Keyboard.xml                   	             54	               0	            54	                    0	          385	             0	         385	                  0	                           1802	                               0	                          1802	                                    0	                                  2110	                                      0	                                 2110	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\App_Aknowledgements.xml            	             15	               0	            15	                    0	          197	             0	         197	                  0	                           1033	                               0	                          1033	                                    0	                                  1211	                                      0	                                 1211	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\AboutOmegaT.xml                    	             56	               0	            56	                    0	          967	             0	         967	                  0	                           5347	                               0	                          5347	                                    0	                                  6261	                                      0	                                 6261	                                           0	
OmegaT website en\who_we_are.html                                              	             54	               0	            46	                    0	          271	             0	         256	                  0	                           1682	                               0	                          1601	                                    0	                                  1901	                                      0	                                 1813	                                           0	
OmegaT website en\screenshots.html                                             	             21	               0	             3	                    0	           59	             0	          18	                  0	                            383	                               0	                           111	                                    0	                                   421	                                      0	                                  125	                                           0	
OmegaT website en\reviews.html                                                 	             45	               0	            26	                    0	          196	             0	         138	                  0	                           1098	                               0	                           728	                                    0	                                  1248	                                      0	                                  839	                                           0	
OmegaT website en\resources.html                                               	             90	               0	            67	                    0	          493	             0	         425	                  0	                           2899	                               0	                          2435	                                    0	                                  3296	                                      0	                                 2786	                                           0	
OmegaT website en\requirements.html                                            	             29	               0	            11	                    0	          230	             0	         184	                  0	                           1301	                               0	                           969	                                    0	                                  1503	                                      0	                                 1142	                                           0	
OmegaT website en\philosophy.html                                              	             58	               0	            40	                    0	          727	             0	         676	                  0	                           3830	                               0	                          3475	                                    0	                                  4500	                                      0	                                 4111	                                           0	
OmegaT website en\omegat.html                                                  	             40	               0	            22	                    0	          180	             0	         138	                  0	                           1150	                               0	                           872	                                    0	                                  1290	                                      0	                                  987	                                           0	
OmegaT website en\involved.html                                                	             61	               0	            43	                    0	          538	             0	         487	                  0	                           2762	                               0	                          2407	                                    0	                                  3237	                                      0	                                 2848	                                           0	
OmegaT website en\howtos\text_export.html                                      	             94	               0	            86	                    0	         1143	             0	        1088	                  0	                           5953	                               0	                          5614	                                    0	                                  6991	                                      0	                                 6605	                                           0	
OmegaT website en\howtos\spelling.html                                         	             60	               0	            44	                    0	          597	             0	         502	                  0	                           4106	                               0	                          3341	                                    0	                                  4528	                                      0	                                 3716	                                           0	
