4/23/15 8:39 PM
Statistica del projecto

              	Segmentos	Parolas	Characteres (sin spatios)	Characteres (includente spatios)	#Files	
Total:        	    27456	 223981	                  1243128	                         1426710	   118	
Restante:     	    10483	  82648	                   470502	                          532997	    29	
Unic:         	    14305	 135362	                   775911	                          885042	    76	
Unic restante:	     5527	  47893	                   295470	                          329191	    16	


Statistica individual del file:

Nomine del file                                                               	Segmentos total	Segmentos cetere	Segmentos unic	Segmentos unic cetere	Parolas total	Parolas cetere	Parolas unic	Parolas unic cetere	Characteres total (sin spatios)	Characteres cetere (sin spatios)	Characteres unic (sin spatios)	Characteres unic cetere (sin spatios)	Characteres total (includente spatios)	Characteres cetere (includente spatios)	Characteres unic (includente spatios)	Characteres unic cetere (includente spatios)	
OmegaT_3.4_L10N_Full\source\doc_src\en\SearchAndReplace.xml                   	             16	              13	            15	                   13	          207	           201	         205	                201	                           1053	                            1019	                          1041	                                 1019	                                  1246	                                   1209	                                 1233	                                        1209	
OmegaT_3.4_L10N_Full\source\doc_src\en\Searches.xml                           	             75	              16	            73	                   16	         1010	           259	        1007	                259	                           5018	                            1302	                          4998	                                 1302	                                  5964	                                   1549	                                 5943	                                        1549	
OmegaT_3.4_L10N_Full\source\doc_src\en\Segmentation.xml                       	             86	               0	            80	                    0	         1032	             0	        1026	                  0	                           5191	                               0	                          5160	                                    0	                                  6151	                                      0	                                 6119	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\Spellchecker.xml                       	             43	               0	            41	                    0	          747	             0	         723	                  0	                           3963	                               0	                          3831	                                    0	                                  4670	                                      0	                                 4516	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\TaaS.xml                               	             21	              20	            19	                   19	          266	           265	         264	                264	                           1545	                            1539	                          1527	                                 1527	                                  1774	                                   1768	                                 1756	                                        1756	
OmegaT_3.4_L10N_Full\source\doc_src\en\TranslationMemories.xml                	            193	               7	           190	                    7	         3246	           120	        3236	                120	                          16848	                             572	                         16779	                                  572	                                 19887	                                    681	                                19811	                                         681	
OmegaT_3.4_L10N_Full\source\doc_src\en\UserInterface.xml                      	            306	              10	           281	                   10	         3517	           128	        3450	                128	                          17904	                             626	                         17493	                                  626	                                 21144	                                    746	                                20690	                                         746	
OmegaT_3.4_L10N_Full\source\readme.utf8                                       	            358	               0	           311	                    0	         2060	             0	        1964	                  0	                          11931	                               0	                         10722	                                    0	                                 13633	                                      0	                                12396	                                           0	
OmegaT_3.4_L10N_Full\source\release\win32-specific\CustomMessages.ini         	              5	               0	             5	                    0	           45	             0	          45	                  0	                            231	                               0	                           231	                                    0	                                   271	                                      0	                                  271	                                           0	
OmegaT_3.4_L10N_Full\source\scripts\properties\check_rules.properties         	             41	               0	            40	                    0	          129	             0	         128	                  0	                            737	                               0	                           731	                                    0	                                   832	                                      0	                                  826	                                           0	
OmegaT_3.4_L10N_Full\source\scripts\properties\search_replace.properties      	              6	               0	             3	                    0	           16	             0	          11	                  0	                             98	                               0	                            69	                                    0	                                   109	                                      0	                                   78	                                           0	
OmegaT_3.4_L10N_Full\source\scripts\properties\spellcheck.properties          	             25	               0	            15	                    0	           65	             0	          45	                  0	                            386	                               0	                           275	                                    0	                                   426	                                      0	                                  305	                                           0	
OmegaT_3.4_L10N_Full\source\scripts\properties\svn_cleanup_selected.properties	              6	               0	             6	                    0	           26	             0	          26	                  0	                            142	                               0	                           142	                                    0	                                   163	                                      0	                                  163	                                           0	
OmegaT_3.4_L10N_Full\source\src\org\omegat\Bundle.properties                  	           1244	              89	          1123	                   88	         5693	           478	        5367	                476	                          32627	                            2872	                         30546	                                 2857	                                 36942	                                   3241	                                34668	                                        3225	
source\doc_src\en\AboutOmegaT.xml                                             	             56	               0	             0	                    0	          965	             0	           0	                  0	                           5335	                               0	                             0	                                    0	                                  6247	                                      0	                                    0	                                           0	
source\doc_src\en\App_Aknowledgements.xml                                     	             15	               0	             0	                    0	          197	             0	           0	                  0	                           1033	                               0	                             0	                                    0	                                  1211	                                      0	                                    0	                                           0	
source\doc_src\en\App_Keyboard.xml                                            	             60	               0	             0	                    0	          473	             0	           0	                  0	                           2227	                               0	                             0	                                    0	                                  2607	                                      0	                                    0	                                           0	
source\doc_src\en\App_Languages.xml                                           	            562	               0	             0	                    0	          656	             0	           0	                  0	                           2846	                               0	                             0	                                    0	                                  2932	                                      0	                                    0	                                           0	
source\doc_src\en\App_LanguageTool_plugin.xml                                 	             20	               0	             0	                    0	          201	             0	           0	                  0	                           1118	                               0	                             0	                                    0	                                  1296	                                      0	                                    0	                                           0	
source\doc_src\en\App_LegalNotices.xml                                        	             22	               0	             0	                    0	          313	             0	           0	                  0	                           1780	                               0	                             0	                                    0	                                  2071	                                      0	                                    0	                                           0	
source\doc_src\en\App_Scripting_plugin.xml                                    	             38	               2	             0	                    0	          361	             2	           0	                  0	                           2017	                              14	                             0	                                    0	                                  2353	                                     14	                                    0	                                           0	
source\doc_src\en\App_ShortCutCustomization.xml                               	            291	               0	             0	                    0	          944	             0	           0	                  0	                           7194	                               0	                             0	                                    0	                                  7750	                                      0	                                    0	                                           0	
source\doc_src\en\App_TeamProjects.xml                                        	            102	               0	             0	                    0	         1534	             0	           0	                  0	                           7880	                               0	                             0	                                    0	                                  9315	                                      0	                                    0	                                           0	
source\doc_src\en\App_Tokenizer_plugin.xml                                    	             23	               0	             0	                    0	          238	             0	           0	                  0	                           1402	                               0	                             0	                                    0	                                  1619	                                      0	                                    0	                                           0	
source\doc_src\en\App_Website.xml                                             	             44	               0	             0	                    0	          419	             0	           0	                  0	                           2449	                               0	                             0	                                    0	                                  2776	                                      0	                                    0	                                           0	
source\doc_src\en\Dictionaries.xml                                            	             32	               0	             0	                    0	          247	             0	           0	                  0	                           1453	                               0	                             0	                                    0	                                  1676	                                      0	                                    0	                                           0	
source\doc_src\en\EditingBehavior.xml                                         	             65	               0	             0	                    0	          856	             0	           0	                  0	                           4447	                               0	                             0	                                    0	                                  5231	                                      0	                                    0	                                           0	
source\doc_src\en\FileFilters.xml                                             	            156	               0	             0	                    0	         1960	             0	           0	                  0	                          10486	                               0	                             0	                                    0	                                 12289	                                      0	                                    0	                                           0	
source\doc_src\en\FilesAndFolders.xml                                         	            153	               0	             0	                    0	         1477	             0	           0	                  0	                           8092	                               0	                             0	                                    0	                                  9412	                                      0	                                    0	                                           0	
source\doc_src\en\FilesToTranslate.xml                                        	            128	               0	             0	                    0	         1456	             0	           0	                  0	                           7465	                               0	                             0	                                    0	                                  8796	                                      0	                                    0	                                           0	
source\doc_src\en\FormattedText.xml                                           	            118	               0	             0	                    0	         1430	             0	           0	                  0	                           7336	                               0	                             0	                                    0	                                  8640	                                      0	                                    0	                                           0	
source\doc_src\en\Glossaries.xml                                              	             87	               2	             0	                    0	         1193	            34	           0	                  0	                           5995	                             171	                             0	                                    0	                                  7095	                                    203	                                    0	                                           0	
source\doc_src\en\InstallingAndRunning.xml                                    	            347	              18	             0	                    0	         4024	           224	           0	                  0	                          21348	                            1349	                             0	                                    0	                                 24866	                                   1535	                                    0	                                           0	
source\doc_src\en\InstantStartGuide.xml                                       	             47	               0	             0	                    0	          760	             0	           0	                  0	                           3649	                               0	                             0	                                    0	                                  4341	                                      0	                                    0	                                           0	
source\doc_src\en\license.txt                                                 	            650	               0	             0	                    0	         5658	             0	           0	                  0	                          28638	                               0	                             0	                                    0	                                 33636	                                      0	                                    0	                                           0	
source\doc_src\en\MachineTranslation.xml                                      	             86	              17	             0	                    0	         1110	           191	           0	                  0	                           6145	                            1068	                             0	                                    0	                                  7156	                                   1235	                                    0	                                           0	
source\doc_src\en\Menu.xml                                                    	            431	              74	             0	                    0	         2969	           721	           0	                  0	                          15599	                            3940	                             0	                                    0	                                 18134	                                   4579	                                    0	                                           0	
source\doc_src\en\Miscelanea.xml                                              	             98	               0	             0	                    0	         1104	             0	           0	                  0	                           5902	                               0	                             0	                                    0	                                  6875	                                      0	                                    0	                                           0	
source\doc_src\en\OmegaTUsersManual_xinclude full.xml                         	              6	               1	             0	                    0	           28	             4	           0	                  0	                            155	                              21	                             0	                                    0	                                   178	                                     25	                                    0	                                           0	
source\doc_src\en\PlainText.xml                                               	             33	               0	             0	                    0	          506	             0	           0	                  0	                           2457	                               0	                             0	                                    0	                                  2926	                                      0	                                    0	                                           0	
source\doc_src\en\ProjectProperties.xml                                       	             63	              19	             0	                    0	          925	           259	           0	                  0	                           4979	                            1433	                             0	                                    0	                                  5839	                                   1669	                                    0	                                           0	
source\doc_src\en\Regexp.xml                                                  	            167	               0	             0	                    0	          797	             0	           0	                  0	                           4203	                               0	                             0	                                    0	                                  4806	                                      0	                                    0	                                           0	
source\doc_src\en\SearchAndReplace.xml                                        	             16	              13	             0	                    0	          207	           201	           0	                  0	                           1053	                            1019	                             0	                                    0	                                  1246	                                   1209	                                    0	                                           0	
source\doc_src\en\Searches.xml                                                	             75	              16	             0	                    0	         1010	           259	           0	                  0	                           5018	                            1302	                             0	                                    0	                                  5964	                                   1549	                                    0	                                           0	
source\doc_src\en\Segmentation.xml                                            	             86	               0	             0	                    0	         1032	             0	           0	                  0	                           5191	                               0	                             0	                                    0	                                  6151	                                      0	                                    0	                                           0	
source\doc_src\en\Spellchecker.xml                                            	             43	               0	             0	                    0	          747	             0	           0	                  0	                           3963	                               0	                             0	                                    0	                                  4670	                                      0	                                    0	                                           0	
source\doc_src\en\TaaS.xml                                                    	             21	              20	             0	                    0	          266	           265	           0	                  0	                           1545	                            1539	                             0	                                    0	                                  1774	                                   1768	                                    0	                                           0	
source\doc_src\en\TranslationMemories.xml                                     	            193	               7	             0	                    0	         3246	           120	           0	                  0	                          16848	                             572	                             0	                                    0	                                 19887	                                    681	                                    0	                                           0	
source\doc_src\en\UserInterface.xml                                           	            306	              10	             0	                    0	         3517	           128	           0	                  0	                          17904	                             626	                             0	                                    0	                                 21144	                                    746	                                    0	                                           0	
source\readme.utf8                                                            	            358	               0	             0	                    0	         2060	             0	           0	                  0	                          11931	                               0	                             0	                                    0	                                 13633	                                      0	                                    0	                                           0	
source\release\win32-specific\CustomMessages.ini                              	              5	               0	             0	                    0	           45	             0	           0	                  0	                            231	                               0	                             0	                                    0	                                   271	                                      0	                                    0	                                           0	
source\scripts\properties\check_rules.properties                              	             41	               0	             0	                    0	          129	             0	           0	                  0	                            737	                               0	                             0	                                    0	                                   832	                                      0	                                    0	                                           0	
source\scripts\properties\search_replace.properties                           	              6	               0	             0	                    0	           16	             0	           0	                  0	                             98	                               0	                             0	                                    0	                                   109	                                      0	                                    0	                                           0	
source\scripts\properties\spellcheck.properties                               	             25	               0	             0	                    0	           65	             0	           0	                  0	                            386	                               0	                             0	                                    0	                                   426	                                      0	                                    0	                                           0	
source\scripts\properties\svn_cleanup_selected.properties                     	              6	               0	             0	                    0	           26	             0	           0	                  0	                            142	                               0	                             0	                                    0	                                   163	                                      0	                                    0	                                           0	
source\src\org\omegat\Bundle.properties                                       	           1244	              89	             0	                    0	         5693	           478	           0	                  0	                          32627	                            2872	                             0	                                    0	                                 36942	                                   3241	                                    0	                                           0	
